Timestamp,Theta,Alpha,Beta,Gamma,Delta
20:48.7,792.1611938,805.4578857,845.7509155,796.5933838,748.6447144
20:48.7,764.7619019,810.2930298,854.2124634,796.5933838,859.8534546
20:48.7,769.1941528,802.234436,869.1208496,809.8901367,797.8021851
20:48.7,761.1355591,810.6959839,913.4432373,797.8021851,554.0292969
20:48.7,760.732605,804.2490845,880,808.6813354,718.0219727
20:48.7,770.8058472,806.666687,810.6959839,815.1282349,1109.670288
20:48.7,756.300354,802.6373901,670.4761963,803.0402832,1472.307739
20:48.7,769.1941528,805.0549316,853.4066162,803.0402832,1031.904785
20:48.7,779.267395,814.7252808,934.3956299,821.1721802,502.4542236
20:48.7,765.9707031,797.8021851,869.5238037,789.7435913,651.5384521
20:48.7,770.4029541,809.8901367,788.53479,804.2490845,630.5860596
20:48.8,767.9853516,803.4432373,855.4212646,815.1282349,718.8278198
20:48.8,730.9157715,811.5018311,839.7069702,789.3406372,678.131897
20:48.8,742.1978149,805.0549316,676.1171875,773.2234497,1243.846191
20:48.8,751.868103,801.8314819,742.600708,791.3552856,1303.479858
20:48.8,732.1245117,811.5018311,973.4798584,801.4285889,659.1941528
20:48.8,748.2417603,813.5164795,747.032959,786.9230957,1244.249023
20:48.8,761.1355591,806.2637329,867.5091553,811.098877,748.6447144
20:48.8,739.7802124,813.5164795,879.1941528,791.3552856,1076.227051
20:48.8,715.2014771,809.8901367,942.0512695,785.3113403,624.1392212
20:48.8,765.164856,799.0109863,893.2966919,807.4725342,684.1758423
20:48.8,774.835144,796.5933838,956.9597168,802.6373901,581.4285889
20:48.8,747.8388062,797.399292,795.3846436,815.5311279,713.1868286
20:48.8,758.7179565,805.0549316,903.3699341,778.4615479,764.3589478
20:48.8,751.0622559,807.4725342,812.3076782,786.1171875,1078.241699
20:48.8,737.3626099,803.8461304,944.8717651,759.1208496,569.3406372
20:48.8,725.6776733,805.0549316,857.032959,767.5823975,790.5494385
20:48.8,732.1245117,801.4285889,937.2161255,783.699646,514.1392212
20:48.8,735.7509155,807.0695801,847.765564,784.9084473,738.1685181
20:48.8,775.6410522,808.6813354,959.3773193,784.5054932,569.7435913
20:48.8,757.9121094,814.3223267,836.0805664,774.835144,920.2930298
20:48.8,720.8424683,802.234436,985.9707031,768.3883057,546.3735962
20:48.8,738.9743652,801.0256348,896.5201416,780.4761963,593.9194336
20:48.8,724.4688721,808.2783813,961.3919678,775.6410522,629.7802124
20:48.8,724.8717651,803.8461304,946.0805664,787.3259888,654.3589478
20:48.9,814.3223267,810.2930298,982.7472534,810.2930298,526.2271118
20:48.9,782.4908447,799.4139404,831.6483765,810.6959839,793.3699341
20:48.9,782.0878906,795.7875366,718.0219727,801.8314819,937.2161255
20:48.9,754.2857056,805.8607788,958.1685181,792.967041,598.3516235
20:48.9,738.9743652,806.666687,874.7619019,799.0109863,779.267395
20:48.9,756.300354,806.2637329,948.0952148,793.3699341,649.5238037
20:48.9,774.0292969,803.4432373,901.7582397,805.4578857,836.8864746
20:48.9,769.5970459,800.6226807,659.5970459,807.4725342,1202.747192
20:48.9,742.1978149,807.8754883,909.4139404,796.5933838,657.9853516
20:48.9,765.567749,807.4725342,748.6447144,799.0109863,1239.41394
